 1 3 5
 40 37 2
 40 43 1
 41 1 2
 41 2 2
 41 8 3
 41 10 3
 41 12 2
 41 14 2
 41 20 2
 41 38 3
 41 43 2
 42 8 1
 42 10 1
 42 28 1
 42 31 1
 42 33 1
 42 34 4
 42 37 1
 42 41 1
 42 43 1
 42 45 1
 43 8 2
 43 12 2
 43 31 1
 43 33 2
 43 34 1
 44 1 1
 44 2 1
 44 5 3
 44 6 5
 44 7 1
 44 8 1
 44 11 1
 44 13 1
 44 17 3
 44 19 5
 44 20 2
 44 21 2
 44 23 3
 44 25 2
 44 26 4
 44 28 2
 44 33 1
 44 34 1
 44 35 1
 44 36 4
 44 38 1
 44 39 4
 44 42 1
 44 43 1
 44 45 3
 45 1 1
 45 2 2
 45 4 1
 45 5 5
 45 6 5
 45 7 2
 45 8 1
 45 9 1
 45 10 1
 45 11 3
 45 12 2
 45 13 1
 45 14 2
 45 17 4
 45 18 2
 45 19 4
 45 20 4
 45 21 3
 45 22 1
 45 23 3
 45 25 4
 45 26 5
 45 27 2
 45 28 3
 45 29 3
 45 31 3
 45 33 1
 45 34 1
 45 35 1
 45 36 5
 45 38 2
 45 42 1
 45 44 4
 46 1 3
 46 3 4
 46 8 1
 46 9 3
 46 12 5
 46 22 1
 46 32 2
 46 33 2
 46 34 2
 46 37 1
 46 43 1
